Layer Name,Layer Type,Output Shape,Params
input_image,InputLayer,"[(None, 256, 256, 3)]",0
target_image,InputLayer,"[(None, 256, 256, 3)]",0
concatenate_5,Concatenate,"(None, 256, 256, 6)",0
sequential_5,Sequential,"(None, 128, 128, 64)",6144
sequential_6,Sequential,"(None, 64, 64, 128)",131584
sequential_7,Sequential,"(None, 32, 32, 256)",525312
zero_padding2d_2,ZeroPadding2D,"(None, 34, 34, 256)",0
conv2d_32,Conv2D,"(None, 31, 31, 512)",2097152
batch_normalization_25,BatchNormalization,"(None, 31, 31, 512)",2048
leaky_re_lu_8,LeakyReLU,"(None, 31, 31, 512)",0
zero_padding2d_3,ZeroPadding2D,"(None, 33, 33, 512)",0
conv2d_33,Conv2D,"(None, 30, 30, 1)",8193
